stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
27743,7743,Groblje,44.6071383000,20.4367183000,2,0,
27744,7744,Guberevac - Dom Zdravlja,44.5396506704,20.4683703669,2,0,
27745,7745,Guberevac - Dom Zdravlja,44.5397113000,20.4682850000,2,0,
27746,7746,Guberevac - Dubrave,44.5475367000,20.4545933000,2,0,
27747,7747,Guberevac - Dubrave,44.5475100000,20.4546983000,2,0,
27748,7748,Minel - Dinamo,44.6145078187,20.4110874724,2,0,
27750,7750,Guberevac - Prodavnica,44.5374467000,20.4640483000,2,0,
27751,7751,Guberevac - Prodavnica,44.5375100000,20.4640117000,2,0,
27752,7752,Guberevac II,44.5374933000,20.4576167000,2,0,
27753,7753,Guberevac II,44.5375778593,20.4575931687,2,0,
27754,7754,Guberevac I,44.5387458819,20.4546707380,2,0,
27755,7755,Guberevac I,44.5388600000,20.4547000000,2,0,
27756,7756,Guberevac R,44.5705222600,20.4233175657,2,0,
27757,7757,Guberevac R,44.5703711784,20.4232314521,2,0,
27758,7758,Guncati - Okretnica,44.5963613359,20.4021292914,2,0,
27759,7759,Guncati - Okretnica,44.5965559293,20.4021969681,2,0,
27760,7760,Guncati - Reka,44.5926140074,20.3967279301,2,0,
27761,7761,Guncati - Reka,44.5927448860,20.3967829245,2,0,
27762,7762,Guncati - Ulaz,44.6124518967,20.4043827767,2,0,
27763,7763,Guncati - Ulaz,44.6123842237,20.4045132945,2,0,
27764,7764,Guncati dom,44.6000325091,20.4000875518,2,0,
27765,7765,Guncati dom,44.6000608863,20.4001990233,2,0,
27766,7766,Minel - Dinamo,44.6138513542,20.4114080932,2,0,
27767,7767,Guncati R,44.6185391850,20.4099175859,2,0,
27768,7768,Guncati R,44.6180525409,20.4099975606,2,0,
27769,7769,Dom Zdravlja,44.6004910592,20.3246031724,2,0,
27770,7770,Dom Zdravlja,44.6004812847,20.3251153497,2,0,
27782,7782,Dubrave,44.5653833000,20.3015683000,2,0,
27788,7788,Đoinčevića kuće,44.5980817000,20.3182233000,2,0,
27789,7789,Đoinčevića kuće,44.5981030211,20.3185031632,2,0,
27793,7793,Igralište,44.5363030000,20.3528830000,2,0,
