route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00601,N,00601_A_N_0843,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1255,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_2330,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0841,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1730,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_2300,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1147,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0657,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1249,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1547,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2340,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_1322,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_0430,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1414,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1826,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0931,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1354,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2330,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1346,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0945,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1018,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1623,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0435,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2002,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0908,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1853,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0510,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1355,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1818,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0650,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0410,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1111,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1322,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1924,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0935,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1347,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0435,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0930,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1819,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0557,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0819,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0735,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1324,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1627,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1356,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1700,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0524,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1506,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1918,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1021,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1444,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0400,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1522,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1713,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1053,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1656,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0551,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2051,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_1000,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1945,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0559,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1445,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1908,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
